GeneID	LOC	DCAR	Source
108192326	LOC108192326	DCAR_0100470	NCBI Gene ESummary
108192327	LOC108192327	DCAR_0205625	NCBI Gene ESummary
108192328	LOC108192328	DCAR_032392	NCBI Gene ESummary
108192330	LOC108192330	DCAR_032138	NCBI Gene ESummary
108192331	LOC108192331	DCAR_031281	NCBI Gene ESummary
108192332	LOC108192332	DCAR_032239	NCBI Gene ESummary
108192333	LOC108192333	DCAR_0205762	NCBI Gene ESummary
108192334	LOC108192334	DCAR_022118	NCBI Gene ESummary
108192335	LOC108192335	DCAR_0100472	NCBI Gene ESummary
108192337	LOC108192337	DCAR_032305	NCBI Gene ESummary
108192338	LOC108192338	DCAR_0205236	NCBI Gene ESummary
108192339	LOC108192339	DCAR_032137	NCBI Gene ESummary
108192340	LOC108192340	DCAR_031554	NCBI Gene ESummary
108192341	LOC108192341	DCAR_031669	NCBI Gene ESummary
108192342	LOC108192342	DCAR_032282	NCBI Gene ESummary
108192343	LOC108192343	DCAR_031588	NCBI Gene ESummary
108192345	LOC108192345	DCAR_031607	NCBI Gene ESummary
108192346	LOC108192346	DCAR_031636	NCBI Gene ESummary
108192347	LOC108192347	DCAR_031773	NCBI Gene ESummary
108192348	LOC108192348	DCAR_000434	NCBI Gene ESummary
108192349	LOC108192349	DCAR_032245	NCBI Gene ESummary
108192350	LOC108192350	DCAR_032141	NCBI Gene ESummary
108192351	LOC108192351	DCAR_031781	NCBI Gene ESummary
108192352	LOC108192352	DCAR_031610	NCBI Gene ESummary
108192354	LOC108192354	DCAR_031626	NCBI Gene ESummary
108192355	LOC108192355	DCAR_032142	NCBI Gene ESummary
108192359	LOC108192359	DCAR_032230	NCBI Gene ESummary
108192362	LOC108192362	DCAR_032336	NCBI Gene ESummary
108192363	LOC108192363	DCAR_000350	NCBI Gene ESummary
108192364	LOC108192364	DCAR_031384	NCBI Gene ESummary
108192366	LOC108192366	DCAR_031421	NCBI Gene ESummary
108192367	LOC108192367	DCAR_031423	NCBI Gene ESummary
108192368	LOC108192368	DCAR_031489	NCBI Gene ESummary
108192369	LOC108192369	DCAR_031565	NCBI Gene ESummary
108192371	LOC108192371	DCAR_031595	NCBI Gene ESummary
108192374	LOC108192374	DCAR_031640	NCBI Gene ESummary
108192375	LOC108192375	DCAR_031609	NCBI Gene ESummary
108192376	LOC108192376	DCAR_0101241	NCBI Gene ESummary
108192379	LOC108192379	DCAR_032066	NCBI Gene ESummary
108192380	LOC108192380	DCAR_031596	NCBI Gene ESummary
108192382	LOC108192382	DCAR_031571	NCBI Gene ESummary
108192383	LOC108192383	DCAR_032234	NCBI Gene ESummary
108192385	LOC108192385	DCAR_032140	NCBI Gene ESummary
108192386	LOC108192386	DCAR_032308	NCBI Gene ESummary
108192388	LOC108192388	DCAR_032425	NCBI Gene ESummary
108192389	LOC108192389	DCAR_0205580	NCBI Gene ESummary
108192390	LOC108192390	DCAR_000295	NCBI Gene ESummary
108192391	LOC108192391	DCAR_031243	NCBI Gene ESummary
108192392	LOC108192392	DCAR_032253	NCBI Gene ESummary
108192393	LOC108192393	DCAR_032206	NCBI Gene ESummary
108192394	LOC108192394	DCAR_031671	NCBI Gene ESummary
108192395	LOC108192395	DCAR_032028	NCBI Gene ESummary
108192396	LOC108192396	DCAR_031298	NCBI Gene ESummary
108192397	LOC108192397	DCAR_032136	NCBI Gene ESummary
108192398	LOC108192398	DCAR_000453	NCBI Gene ESummary
108192399	LOC108192399	DCAR_031779	NCBI Gene ESummary
108192400	LOC108192400	DCAR_031362	NCBI Gene ESummary
108192403	LOC108192403	DCAR_031625	NCBI Gene ESummary
108192404	LOC108192404	DCAR_031490	NCBI Gene ESummary
108192405	LOC108192405	DCAR_032209	NCBI Gene ESummary
108192406	LOC108192406	DCAR_031603	NCBI Gene ESummary
108192407	LOC108192407	DCAR_0205725	NCBI Gene ESummary
108192408	LOC108192408	DCAR_031874	NCBI Gene ESummary
108192409	LOC108192409	DCAR_0205234	NCBI Gene ESummary
108192410	LOC108192410	DCAR_031673	NCBI Gene ESummary
108192411	LOC108192411	DCAR_000304	NCBI Gene ESummary
108192412	LOC108192412	DCAR_031637	NCBI Gene ESummary
108192414	LOC108192414	DCAR_0205237	NCBI Gene ESummary
108192415	LOC108192415	DCAR_032088	NCBI Gene ESummary
108192419	LOC108192419	DCAR_0101048	NCBI Gene ESummary
108192420	LOC108192420	DCAR_0102003	NCBI Gene ESummary
108192421	LOC108192421	DCAR_031611	NCBI Gene ESummary
108192423	LOC108192423	DCAR_031381	NCBI Gene ESummary
108192424	LOC108192424	DCAR_031361	NCBI Gene ESummary
108192425	LOC108192425	DCAR_000212	NCBI Gene ESummary
108192427	LOC108192427	DCAR_000377	NCBI Gene ESummary
108192428	LOC108192428	DCAR_0205587	NCBI Gene ESummary
108192429	LOC108192429	DCAR_000390	NCBI Gene ESummary
108192430	LOC108192430	DCAR_031783	NCBI Gene ESummary
108192432	LOC108192432	DCAR_031498	NCBI Gene ESummary
108192433	LOC108192433	DCAR_0205583	NCBI Gene ESummary
108192434	LOC108192434	DCAR_031601	NCBI Gene ESummary
108192436	LOC108192436	DCAR_000458	NCBI Gene ESummary
108192437	LOC108192437	DCAR_000397	NCBI Gene ESummary
108192438	LOC108192438	DCAR_031537	NCBI Gene ESummary
108192439	LOC108192439	DCAR_031560	NCBI Gene ESummary
108192440	LOC108192440	DCAR_000426	NCBI Gene ESummary
108192441	LOC108192441	DCAR_031606	NCBI Gene ESummary
108192443	LOC108192443	DCAR_031260	NCBI Gene ESummary
108192444	LOC108192444	DCAR_031311	NCBI Gene ESummary
108192445	LOC108192445	DCAR_032249	NCBI Gene ESummary
108192446	LOC108192446	DCAR_000319	NCBI Gene ESummary
108192449	LOC108192449	DCAR_0101249	NCBI Gene ESummary
108192450	LOC108192450	DCAR_000310	NCBI Gene ESummary
108192451	LOC108192451	DCAR_000476	NCBI Gene ESummary
108192452	LOC108192452	DCAR_0205730	NCBI Gene ESummary
108192453	LOC108192453	DCAR_000475	NCBI Gene ESummary
108192454	LOC108192454	DCAR_031597	NCBI Gene ESummary
108192456	LOC108192456	DCAR_031558	NCBI Gene ESummary
108192457	LOC108192457	DCAR_0623452	NCBI Gene ESummary
108192458	LOC108192458	DCAR_032214	NCBI Gene ESummary
108192461	LOC108192461	DCAR_032211	NCBI Gene ESummary
108192462	LOC108192462	DCAR_000204	NCBI Gene ESummary
108192463	LOC108192463	DCAR_0101059	NCBI Gene ESummary
108192464	LOC108192464	DCAR_000388	NCBI Gene ESummary
108192465	LOC108192465	DCAR_031887	NCBI Gene ESummary
108192468	LOC108192468	DCAR_031714	NCBI Gene ESummary
108192471	LOC108192471	DCAR_000436	NCBI Gene ESummary
108192473	LOC108192473	DCAR_0519965	NCBI Gene ESummary
108192474	LOC108192474	DCAR_031886	NCBI Gene ESummary
108192475	LOC108192475	DCAR_031777	NCBI Gene ESummary
108192477	LOC108192477	DCAR_0312126	NCBI Gene ESummary
108192478	LOC108192478	DCAR_000474	NCBI Gene ESummary
108192479	LOC108192479	DCAR_000278	NCBI Gene ESummary
108192480	LOC108192480	DCAR_0205750	NCBI Gene ESummary
108192481	LOC108192481	DCAR_031555	NCBI Gene ESummary
108192482	LOC108192482	DCAR_031738	NCBI Gene ESummary
108192483	LOC108192483	DCAR_031317	NCBI Gene ESummary
108192484	LOC108192484	DCAR_031876	NCBI Gene ESummary
108192486	LOC108192486	DCAR_032122	NCBI Gene ESummary
108192489	LOC108192489	DCAR_000386	NCBI Gene ESummary
108192490	LOC108192490	DCAR_000326	NCBI Gene ESummary
108192492	LOC108192492	DCAR_032186	NCBI Gene ESummary
108192494	LOC108192494	DCAR_031775	NCBI Gene ESummary
108192496	LOC108192496	DCAR_032248	NCBI Gene ESummary
108192499	LOC108192499	DCAR_031483	NCBI Gene ESummary
108192500	LOC108192500	DCAR_032339	NCBI Gene ESummary
108192501	LOC108192501	DCAR_032212	NCBI Gene ESummary
108192502	LOC108192502	DCAR_015009	NCBI Gene ESummary
108192503	LOC108192503	DCAR_031316	NCBI Gene ESummary
108192505	LOC108192505	DCAR_000362	NCBI Gene ESummary
108192506	LOC108192506	DCAR_0102006	NCBI Gene ESummary
108192507	LOC108192507	DCAR_031306	NCBI Gene ESummary
108192508	LOC108192508	DCAR_031728	NCBI Gene ESummary
108192509	LOC108192509	DCAR_031214	NCBI Gene ESummary
108192513	LOC108192513	DCAR_0205716	NCBI Gene ESummary
108192514	LOC108192514	DCAR_032235	NCBI Gene ESummary
108192515	LOC108192515	DCAR_000361	NCBI Gene ESummary
108192516	LOC108192516	DCAR_031549	NCBI Gene ESummary
108192517	LOC108192517	DCAR_0310952	NCBI Gene ESummary
108192518	LOC108192518	DCAR_0100515	NCBI Gene ESummary
108192519	LOC108192519	DCAR_031333	NCBI Gene ESummary
108192520	LOC108192520	DCAR_000373	NCBI Gene ESummary
108192522	LOC108192522	DCAR_031600	NCBI Gene ESummary
108192523	LOC108192523	DCAR_031615	NCBI Gene ESummary
108192524	LOC108192524	DCAR_0311579	NCBI Gene ESummary
108192525	LOC108192525	DCAR_000205	NCBI Gene ESummary
108192527	LOC108192527	DCAR_032244	NCBI Gene ESummary
108192528	LOC108192528	DCAR_0414493	NCBI Gene ESummary
108192529	LOC108192529	DCAR_031629	NCBI Gene ESummary
108192531	LOC108192531	DCAR_031568	NCBI Gene ESummary
108192532	LOC108192532	DCAR_0205610	NCBI Gene ESummary
108192533	LOC108192533	DCAR_032241	NCBI Gene ESummary
108192535	LOC108192535	DCAR_031313	NCBI Gene ESummary
108192536	LOC108192536	DCAR_032384	NCBI Gene ESummary
108192538	LOC108192538	DCAR_0205752	NCBI Gene ESummary
108192540	LOC108192540	DCAR_031376	NCBI Gene ESummary
108192541	LOC108192541	DCAR_0205751	NCBI Gene ESummary
108192542	LOC108192542	DCAR_0522138	NCBI Gene ESummary
108192544	LOC108192544	DCAR_0101248	NCBI Gene ESummary
108192545	LOC108192545	DCAR_031275	NCBI Gene ESummary
108192546	LOC108192546	DCAR_000446	NCBI Gene ESummary
108192547	LOC108192547	DCAR_000363	NCBI Gene ESummary
108192548	LOC108192548	DCAR_0205313	NCBI Gene ESummary
108192551	LOC108192551	DCAR_0522552	NCBI Gene ESummary
108192552	LOC108192552	DCAR_031787	NCBI Gene ESummary
108192553	LOC108192553	DCAR_0312128	NCBI Gene ESummary
108192554	LOC108192554	DCAR_000272	NCBI Gene ESummary
108192555	LOC108192555	DCAR_000459	NCBI Gene ESummary
108192556	LOC108192556	DCAR_000468	NCBI Gene ESummary
108192557	LOC108192557	DCAR_000400	NCBI Gene ESummary
108192558	LOC108192558	DCAR_0205585	NCBI Gene ESummary
108192559	LOC108192559	DCAR_031853	NCBI Gene ESummary
108192560	LOC108192560	DCAR_000151	NCBI Gene ESummary
108192562	LOC108192562	DCAR_031562	NCBI Gene ESummary
108192563	LOC108192563	DCAR_031616	NCBI Gene ESummary
108192565	LOC108192565	DCAR_032374	NCBI Gene ESummary
108192566	LOC108192566	DCAR_0205260	NCBI Gene ESummary
108192567	LOC108192567	DCAR_031305	NCBI Gene ESummary
108192569	LOC108192569	DCAR_031633	NCBI Gene ESummary
108192570	LOC108192570	DCAR_0205727	NCBI Gene ESummary
108192572	LOC108192572	DCAR_026384	NCBI Gene ESummary
108192573	LOC108192573	DCAR_031338	NCBI Gene ESummary
108192574	LOC108192574	DCAR_031890	NCBI Gene ESummary
108192575	LOC108192575	DCAR_031239	NCBI Gene ESummary
108192576	LOC108192576	DCAR_0205737	NCBI Gene ESummary
108192577	LOC108192577	DCAR_031387	NCBI Gene ESummary
108192578	LOC108192578	DCAR_000358	NCBI Gene ESummary
108192579	LOC108192579	DCAR_031693	NCBI Gene ESummary
108192580	LOC108192580	DCAR_031888	NCBI Gene ESummary
108192581	LOC108192581	DCAR_031863	NCBI Gene ESummary
108192582	LOC108192582	DCAR_032320	NCBI Gene ESummary
108192583	LOC108192583	DCAR_031493	NCBI Gene ESummary
108192584	LOC108192584	DCAR_031641	NCBI Gene ESummary
108192585	LOC108192585	DCAR_031400	NCBI Gene ESummary
108192586	LOC108192586	DCAR_0205288	NCBI Gene ESummary
108192587	LOC108192587	DCAR_000420	NCBI Gene ESummary
108192588	LOC108192588	DCAR_032355	NCBI Gene ESummary
108192589	LOC108192589	DCAR_000132	NCBI Gene ESummary
108192593	LOC108192593	DCAR_0830914	NCBI Gene ESummary
108192594	LOC108192594	DCAR_031265	NCBI Gene ESummary
108192597	LOC108192597	DCAR_032134	NCBI Gene ESummary
108192605	LOC108192605	DCAR_031872	NCBI Gene ESummary
108192606	LOC108192606	DCAR_031790	NCBI Gene ESummary
108192608	LOC108192608	DCAR_0933524	NCBI Gene ESummary
108192609	LOC108192609	DCAR_032210	NCBI Gene ESummary
108192610	LOC108192610	DCAR_031336	NCBI Gene ESummary
108192614	LOC108192614	DCAR_031602	NCBI Gene ESummary
108192615	LOC108192615	DCAR_0728155	NCBI Gene ESummary
108192616	LOC108192616	DCAR_031726	NCBI Gene ESummary
108192618	LOC108192618	DCAR_0205302	NCBI Gene ESummary
108192620	LOC108192620	DCAR_031485	NCBI Gene ESummary
108192621	LOC108192621	DCAR_0206886	NCBI Gene ESummary
108192622	LOC108192622	DCAR_0205719	NCBI Gene ESummary
108192624	LOC108192624	DCAR_000439	NCBI Gene ESummary
108192626	LOC108192626	DCAR_0623484	NCBI Gene ESummary
108192627	LOC108192627	DCAR_031594	NCBI Gene ESummary
108192629	LOC108192629	DCAR_031617	NCBI Gene ESummary
108192630	LOC108192630	DCAR_000427	NCBI Gene ESummary
108192631	LOC108192631	DCAR_032026	NCBI Gene ESummary
108192632	LOC108192632	DCAR_001191	NCBI Gene ESummary
108192633	LOC108192633	DCAR_032259	NCBI Gene ESummary
108192634	LOC108192634	DCAR_031479	NCBI Gene ESummary
108192635	LOC108192635	DCAR_031642	NCBI Gene ESummary
108192636	LOC108192636	DCAR_031997	NCBI Gene ESummary
108192639	LOC108192639	DCAR_0205283	NCBI Gene ESummary
108192640	LOC108192640	DCAR_031492	NCBI Gene ESummary
108192643	LOC108192643	DCAR_001218	NCBI Gene ESummary
108192644	LOC108192644	DCAR_031765	NCBI Gene ESummary
108192646	LOC108192646	DCAR_0101053	NCBI Gene ESummary
108192648	LOC108192648	DCAR_031419	NCBI Gene ESummary
108192649	LOC108192649	DCAR_0100821	NCBI Gene ESummary
108192650	LOC108192650	DCAR_0310951	NCBI Gene ESummary
108192651	LOC108192651	DCAR_031612	NCBI Gene ESummary
108192652	LOC108192652	DCAR_000225	NCBI Gene ESummary
108192653	LOC108192653	DCAR_031628	NCBI Gene ESummary
108192656	LOC108192656	DCAR_0312127	NCBI Gene ESummary
108192657	LOC108192657	DCAR_032347	NCBI Gene ESummary
108192659	LOC108192659	DCAR_0205278	NCBI Gene ESummary
108192661	LOC108192661	DCAR_031593	NCBI Gene ESummary
108192662	LOC108192662	DCAR_0205253	NCBI Gene ESummary
108192663	LOC108192663	DCAR_031321	NCBI Gene ESummary
108192664	LOC108192664	DCAR_031506	NCBI Gene ESummary
108192665	LOC108192665	DCAR_031624	NCBI Gene ESummary
108192666	LOC108192666	DCAR_032358	NCBI Gene ESummary
108192667	LOC108192667	DCAR_031386	NCBI Gene ESummary
108192669	LOC108192669	DCAR_000230	NCBI Gene ESummary
108192670	LOC108192670	DCAR_010349	NCBI Gene ESummary
108192673	LOC108192673	DCAR_0933845	NCBI Gene ESummary
108192676	LOC108192676	DCAR_0311598	NCBI Gene ESummary
108192678	LOC108192678	DCAR_032426	NCBI Gene ESummary
108192680	LOC108192680	DCAR_000378	NCBI Gene ESummary
108192681	LOC108192681	DCAR_031871	NCBI Gene ESummary
108192683	LOC108192683	DCAR_031494	NCBI Gene ESummary
108192684	LOC108192684	DCAR_000391	NCBI Gene ESummary
108192685	LOC108192685	DCAR_0101240	NCBI Gene ESummary
108192686	LOC108192686	DCAR_032369	NCBI Gene ESummary
108192687	LOC108192687	DCAR_0205285	NCBI Gene ESummary
108192688	LOC108192688	DCAR_031343	NCBI Gene ESummary
108192690	LOC108192690	DCAR_031428	NCBI Gene ESummary
108192693	LOC108192693	DCAR_0205281	NCBI Gene ESummary
108192694	LOC108192694	DCAR_0830807	NCBI Gene ESummary
108192695	LOC108192695	DCAR_032275	NCBI Gene ESummary
108192701	LOC108192701	DCAR_000300	NCBI Gene ESummary
108192702	LOC108192702	DCAR_031614	NCBI Gene ESummary
108192704	LOC108192704	DCAR_0623439	NCBI Gene ESummary
108192705	LOC108192705	DCAR_031618	NCBI Gene ESummary
108192706	LOC108192706	DCAR_032165	NCBI Gene ESummary
108192707	LOC108192707	DCAR_031499	NCBI Gene ESummary
108192710	LOC108192710	DCAR_031865	NCBI Gene ESummary
108192711	LOC108192711	DCAR_0311467	NCBI Gene ESummary
108192712	LOC108192712	DCAR_031308	NCBI Gene ESummary
108192715	LOC108192715	DCAR_0101678	NCBI Gene ESummary
108192717	LOC108192717	DCAR_0312861	NCBI Gene ESummary
108192718	LOC108192718	DCAR_0934829	NCBI Gene ESummary
108192719	LOC108192719	DCAR_032003	NCBI Gene ESummary
108192720	LOC108192720	DCAR_000267	NCBI Gene ESummary
108192721	LOC108192721	DCAR_031339	NCBI Gene ESummary
108192722	LOC108192722	DCAR_032208	NCBI Gene ESummary
108192725	LOC108192725	DCAR_032202	NCBI Gene ESummary
108192726	LOC108192726	DCAR_031314	NCBI Gene ESummary
108192729	LOC108192729	DCAR_031307	NCBI Gene ESummary
108192731	LOC108192731	DCAR_0623337	NCBI Gene ESummary
108192733	LOC108192733	DCAR_031467	NCBI Gene ESummary
108192737	LOC108192737	DCAR_0102005	NCBI Gene ESummary
108192739	LOC108192739	DCAR_031299	NCBI Gene ESummary
108192741	LOC108192741	DCAR_031385	NCBI Gene ESummary
108192742	LOC108192742	DCAR_0205761	NCBI Gene ESummary
108192743	LOC108192743	DCAR_031566	NCBI Gene ESummary
108192744	LOC108192744	DCAR_0205235	NCBI Gene ESummary
108192745	LOC108192745	DCAR_031778	NCBI Gene ESummary
108192747	LOC108192747	DCAR_031284	NCBI Gene ESummary
108192748	LOC108192748	DCAR_031630	NCBI Gene ESummary
108192749	LOC108192749	DCAR_000215	NCBI Gene ESummary
108192752	LOC108192752	DCAR_031627	NCBI Gene ESummary
108192753	LOC108192753	DCAR_031983	NCBI Gene ESummary
108192759	LOC108192759	DCAR_0100189	NCBI Gene ESummary
108192763	LOC108192763	DCAR_003936	NCBI Gene ESummary
108192764	LOC108192764	DCAR_021030	NCBI Gene ESummary
108192765	LOC108192765	DCAR_020931	NCBI Gene ESummary
108192767	LOC108192767	DCAR_022873	NCBI Gene ESummary
108192768	LOC108192768	DCAR_021724	NCBI Gene ESummary
108192769	LOC108192769	DCAR_021710	NCBI Gene ESummary
108192770	LOC108192770	DCAR_020003	NCBI Gene ESummary
108192771	LOC108192771	DCAR_020002	NCBI Gene ESummary
108192772	LOC108192772	DCAR_0625995	NCBI Gene ESummary
108192774	LOC108192774	DCAR_023182	NCBI Gene ESummary
108192775	LOC108192775	DCAR_020065	NCBI Gene ESummary
108192776	LOC108192776	DCAR_021395	NCBI Gene ESummary
108192777	LOC108192777	DCAR_021803	NCBI Gene ESummary
108192778	LOC108192778	DCAR_0624891	NCBI Gene ESummary
108192780	LOC108192780	DCAR_021397	NCBI Gene ESummary
108192781	LOC108192781	DCAR_021818	NCBI Gene ESummary
108192782	LOC108192782	DCAR_022768	NCBI Gene ESummary
108192783	LOC108192783	DCAR_0105206	NCBI Gene ESummary
108192784	LOC108192784	DCAR_022375	NCBI Gene ESummary
108192785	LOC108192785	DCAR_022680	NCBI Gene ESummary
108192786	LOC108192786	DCAR_020218	NCBI Gene ESummary
108192787	LOC108192787	DCAR_022915	NCBI Gene ESummary
108192788	LOC108192788	DCAR_023144	NCBI Gene ESummary
108192789	LOC108192789	DCAR_023145	NCBI Gene ESummary
108192790	LOC108192790	DCAR_021139	NCBI Gene ESummary
108192791	LOC108192791	DCAR_022946	NCBI Gene ESummary
108192792	LOC108192792	DCAR_000946	NCBI Gene ESummary
108192793	LOC108192793	DCAR_021848	NCBI Gene ESummary
108192794	LOC108192794	DCAR_0624343	NCBI Gene ESummary
108192795	LOC108192795	DCAR_020593	NCBI Gene ESummary
108192796	LOC108192796	DCAR_020421	NCBI Gene ESummary
108192797	LOC108192797	DCAR_020460	NCBI Gene ESummary
108192798	LOC108192798	DCAR_0625955	NCBI Gene ESummary
108192799	LOC108192799	DCAR_022903	NCBI Gene ESummary
108192800	LOC108192800	DCAR_020167	NCBI Gene ESummary
108192801	LOC108192801	DCAR_0626275	NCBI Gene ESummary
108192802	LOC108192802	DCAR_020723	NCBI Gene ESummary
108192803	LOC108192803	DCAR_021615	NCBI Gene ESummary
108192804	LOC108192804	DCAR_004782	NCBI Gene ESummary
108192805	LOC108192805	DCAR_019909	NCBI Gene ESummary
108192806	LOC108192806	DCAR_022578	NCBI Gene ESummary
108192807	LOC108192807	DCAR_0626065	NCBI Gene ESummary
108192808	LOC108192808	DCAR_021957	NCBI Gene ESummary
108192809	LOC108192809	DCAR_023000	NCBI Gene ESummary
108192810	LOC108192810	DCAR_0625485	NCBI Gene ESummary
108192811	LOC108192811	DCAR_001660	NCBI Gene ESummary
108192814	LOC108192814	DCAR_022978	NCBI Gene ESummary
108192815	LOC108192815	DCAR_022977	NCBI Gene ESummary
